scientificName,family,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,eventDate
Taxidea taxus,Mustelidae,38.626,-99.3189,,1997-09-21
Taxidea taxus,Mustelidae,43.596,-84.9093,,1954-09-25
Taxidea taxus,Mustelidae,32.8,-116.9667,,1918-07-24
Taxidea taxus,Mustelidae,31.8628,-110.8841,,1974-06-17
Taxidea taxus,Mustelidae,42.7532,-84.6479,8721.0,1974-01-01
Taxidea taxus,Mustelidae,46.2675,-86.8956,187.0,1962-06-04
Taxidea taxus,Mustelidae,41.3114,-105.5906,25595.0,1974-01-07
Taxidea taxus,Mustelidae,19.3083,-99.225,,1985-12-05
Taxidea taxus,Mustelidae,34.2448,-112.7457,7476.0,1937-06-10
Taxidea taxus,Mustelidae,42.4632,-98.7623,,2010-11-14
Taxidea taxus,Mustelidae,38.7047,-99.5502,,1960-11-03
Taxidea taxus,Mustelidae,24.1375,-110.4672,,2000-04-10
Taxidea taxus,Mustelidae,43.344,-83.3325,1164.0,1990-12-14
Taxidea taxus,Mustelidae,23.8657,-110.2214,,2011-08-02
Taxidea taxus,Mustelidae,40.0758,-106.5603,1000.0,1971-11-08
Taxidea taxus,Mustelidae,41.7817,-99.1328,1480.0,1961-07-18
Taxidea taxus,Mustelidae,38.1055,-98.6044,,1975-10-25
Taxidea taxus,Mustelidae,32.0836,-114.2011,,1989-02-18
Taxidea taxus,Mustelidae,34.1219,-118.4472,,1957-06-24
Taxidea taxus,Mustelidae,24.7719,-112.0611,,2002-11-20
Taxidea taxus,Mustelidae,32.3071,-100.9198,,1969-01-01
Taxidea taxus,Mustelidae,30.8367,-108.51,,1994-10-12
Taxidea taxus,Mustelidae,31.4886,-111.5073,,1958-02-23
Taxidea taxus,Mustelidae,46.1784,-117.5433,2910.0,1953-08-01
Taxidea taxus,Mustelidae,31.7902,-100.8003,,1999-04-26
Taxidea taxus,Mustelidae,42.8923,-86.0099,1164.0,1989-12-04
Taxidea taxus,Mustelidae,31.5624,-98.9282,,2003-03-01
Taxidea taxus,Mustelidae,25.211,-112.1363,,1975-01-26
Taxidea taxus,Mustelidae,41.59,-83.06,,1971-10-20
Taxidea taxus,Mustelidae,42.4632,-98.7623,,2010-11-06
Taxidea taxus,Mustelidae,49.4988,-119.5938,,1952-01-01
Taxidea taxus,Mustelidae,30.9067,-108.4217,,1994-09-29
Taxidea taxus,Mustelidae,30.8667,-108.5933,,1994-12-28
Taxidea taxus,Mustelidae,37.0487,-106.8231,5000.0,1913-07-19
Taxidea taxus,Mustelidae,38.6838,-99.7458,,1989-11-12
Taxidea taxus,Mustelidae,35.4001,-119.4665,1609.0,1910-05-12
Taxidea taxus,Mustelidae,24.836,-100.6824,,2009-01-28
Taxidea taxus,Mustelidae,34.4211,-119.8425,,1929-10-21
Taxidea taxus,Mustelidae,31.6324,-100.0458,,1994-08-16
Taxidea taxus,Mustelidae,42.0345,-86.1555,1165.0,1989-11-08
Taxidea taxus,Mustelidae,30.4658,-115.9887,,1999-11-17
Taxidea taxus,Mustelidae,41.3114,-105.5906,25595.0,1974-01-07
Taxidea taxus,Mustelidae,42.4632,-98.7623,,2010-11-11
Taxidea taxus,Mustelidae,33.1869,-111.319,,1967-06-22
Taxidea taxus,Mustelidae,31.296,-100.4538,,1991-10-08
Taxidea taxus,Mustelidae,50.6281,-119.1235,,1947-08-24
Taxidea taxus,Mustelidae,34.9592,-120.53,,1972-05-31
Taxidea taxus,Mustelidae,41.3114,-105.5906,25595.0,1974-01-07
Taxidea taxus,Mustelidae,48.2453,-114.2958,,2000-09-03
Taxidea taxus,Mustelidae,28.045,-113.9811,,1998-06-21
Taxidea taxus,Mustelidae,44.3032,-84.3712,386.0,1982-07-29
Taxidea taxus,Mustelidae,30.735,-108.38,,1994-09-24
Taxidea taxus,Mustelidae,43.5867,-84.7792,,1997-09-11
Taxidea taxus,Mustelidae,42.6312,-85.7694,1164.0,1989-11-04
Taxidea taxus,Mustelidae,38.8667,-102.0011,,1977-12-30
Taxidea taxus,Mustelidae,27.241,-98.774,,1968-08-18
Taxidea taxus,Mustelidae,35.0166,-98.6037,1500.0,2007-09-15
Taxidea taxus,Mustelidae,41.3114,-105.5906,25595.0,1973-12-04
Taxidea taxus,Mustelidae,36.4167,-115.8,,1928-07-29
Taxidea taxus,Mustelidae,40.2525,-108.6777,2500.0,1993-05-12
Taxidea taxus,Mustelidae,24.6825,-100.2403,,1979-11-17
Taxidea taxus,Mustelidae,24.8343,-100.6691,,2009-08-25
Taxidea taxus,Mustelidae,43.5261,-117.7417,1152.0,1975-08-21
Taxidea taxus,Mustelidae,39.673,-99.1973,,1975-10-26
Taxidea taxus,Mustelidae,37.6598,-102.5421,1000.0,1965-11-24
Taxidea taxus,Mustelidae,41.3114,-105.5906,25595.0,1974-01-11
Taxidea taxus,Mustelidae,44.0097,-85.8325,1164.0,1966-08-15
Taxidea taxus,Mustelidae,31.285,-113.452,,1980-06-10
Taxidea taxus,Mustelidae,34.7692,-120.3553,,1990-01-19
Taxidea taxus,Mustelidae,24.8931,-103.6933,,1974-07-04
Taxidea taxus,Mustelidae,42.9904,-107.5697,355468.0,1974-01-04
Taxidea taxus,Mustelidae,32.0135,-111.6412,,1953-11-26
Taxidea taxus,Mustelidae,41.3114,-105.5906,25595.0,1974-01-11
Taxidea taxus,Mustelidae,31.972,-114.69,,1999-01-01
Taxidea taxus,Mustelidae,31.4886,-111.5073,,1958-02-23
Taxidea taxus,Mustelidae,24.6825,-100.2403,,1979-11-17
Taxidea taxus,Mustelidae,38.8893,-85.8258,,1973-08-12
Taxidea taxus,Mustelidae,50.6745,-120.3273,,1928-05-22
Taxidea taxus,Mustelidae,19.1371,-99.1521,,1992-03-25
Taxidea taxus,Mustelidae,24.3083,-110.2958,,2000-04-10
Taxidea taxus,Mustelidae,48.2453,-114.2958,,2000-09-03
Taxidea taxus,Mustelidae,33.7854,-116.9585,3553.0,1893-05-15
Taxidea taxus,Mustelidae,46.5136,-121.2092,3714.0,1948-08-11
